Project Number,MH Name,County,Street City State Zip,Lots,Approval Date,Primary Status,Owner Name
PRMZ000478,HAPPY TRAILS MP,Pinellas,"2261 GULF TO BAY BLVD, CLEARWATER, FL 33765",84,06/17/2026,Approved,
PRMZ000715,PARADISE PARK,Pinellas,"7111 142ND AVE N, LARGO, FL 33771",108,06/16/2023,Approved,
PRMZ000445,HOLLYWOOD MOBILE HOME PARK,Pinellas,"7230 4TH ST N, ST. PETERSBURG, FL 33702-5803",236,12/10/2021,Approved,
PRMY003287,CAROLINE TRAILER COURT,Pinellas,"6418 HAINES RD, ST. PETERSBURG, FL 33702",13,02/10/2016,Approved,
PRMZ000946,PALACE MHP,Pinellas,"2500 54 AVE N, SAINT PETERSBURG BCH, FL 33714",31,05/01/1998,Approved,
PRMZ001304,PARK ON 46TH,Pinellas,"7499 46TH AVE N, ST. PETERSBURG, FL 33709",40,05/07/2026,Approved,
PRMZ000355,FRONTIER VILLAGE MOBILE HOME PARK,Pinellas,"30700 U.S. 19 NORTH, PALM HARBOR, FL 34684",117,12/04/2017,Approved,
PRMZ001347,BICKLEY PARK,Pinellas,"5640 SEMINOLE BLVD, SEMINOLE, FL 33772",1,01/06/2025,Approved,
PRMZ001114,SUN VALLEY,Pinellas,"39248 US HWY 19 N, TARPON SPRINGS, FL 34689",261,11/07/2022,Approved,
PRMZ000118,CROSSWINDS MOBILE HOME PARK,Pinellas,"4125 PARK ST N, ST. PETERSBURG, FL 33709",376,11/13/2024,Approved,
PRMZ000620,PALM HAVEN MOBILE HOME PARK,Pinellas,"3301 58TH AVE N, ST PETERBURG, FL 33714",270,02/12/2025,Approved,
PRMZ000789,KAKUSHA MOBILE HOME PARK,Pinellas,"1654 CLEARWATER-LARGO RD, CLEARWATER, FL 33756",116,08/05/2022,Approved,
PRMZ002879,PINECREST MOBILE HOME PARK,Pinellas,"2500 52ND AVE N, ST. PETERSBURG, FL 33714",128,12/03/2021,Approved,
PRMZ000054,BLUE SKIES MOBILE HOME PARK,Pinellas,"614 WOODROW AVE NW LOT 25, LARGO, FL 33770",52,06/23/2021,Approved,
PRMZ001855,SOUTHWAY VILLA MOBILE HOME PARK,Hernando,"7275 TWIN BROOK ST, BROOKSVILLE, FL 34601",268,09/24/2015,Approved,BAIRD HOMES OF FLORIDA INC
PRMZ001418,VILLA PLUMOSA MOBILE HOME PARK,Pinellas,"3290 54TH AVE N, ST. PETERSBURG, FL 33714",37,05/11/2026,Approved,
PRMZ001574,OAKS MOBILE HOME PARK,Hernando,"626 S BROAD ST LOT 226, BROOKSVILLE, FL 34601",70,07/22/2021,Approved,
PRMZ000499,HERITAGE VILLAGE & INN,Pinellas,"12840 SEMINOLE BLVD, LARGO, FL 33778",81,07/29/2021,Approved,
PRMZ001795,TARPONAIRE RESORT,Pinellas,"38791 US HWY 19 N, TARPON SPRINGS, FL 34689",137,08/01/2019,Approved,
PRMZ002863,PORPOISE PARK,Pinellas,"8701 SEMINOLE BLVD, SEMINOLE, FL 33772",32,03/30/2026,Approved,
PRMZ001443,PALM CIRCLE COMMUNITY,Pinellas,"6978 46TH AVE N, ST PETERSBURG, FL 33709",55,05/08/2026,Approved,
