Project Number,MH Name,County,Street City State Zip,Lots,Approval Date,Primary Status,Owner Name,PlantCity
PRMZ000352,FROSTPROOF MOBILE VILLAGE,Polk,"375 W HIGHWAY 630, FROSTPROOF, FL 33843",124,06/24/2016,Approved,,
PRMZ000385,GRANDVIEW ESTATES,Hillsborough,"5220 CR 579 S, SEFFNER, FL 33584",122,11/10/2025,Approved,,
PRMZ001011,SHERWOOD MOBILE MANOR,Polk,"1200 N DAVIS AVE, LAKELAND, FL 33805",160,08/15/2001,Approved,,
PRMZ001611,SHELL POINTE MANUFACTURED HOME COMMUNITY,Hillsborough,"1112 W SHELL POINT RD, RUSKIN, FL 33570",63,02/17/2026,Approved,,
PRMZ000776,LAKE BAMBI MOBILE HOME & RV PARK,Pasco,"6105 LAND O' LAKES BLVD, LAND O' LAKES, FL 34638",33,08/14/2024,Approved,,
PRMZ001540,PINE OAKS MOBILE HOME PARK,Hillsborough,"183 MAPLE, PLANT CITY, FL 33566",104,02/05/2020,Approved,,Y
PRMZ000749,LUCERNE LAKESIDE MANUFACTURED HOME COMMUNITY,Polk,"39 1/2 AZALEA DR, WINTER HAVEN, FL 33881",140,06/04/2025,Approved,,
PRMZ000275,DALLEY TOWN PARK,Polk,"1400 HWY 17 N, FORT MEADE, FL 33841",25,06/30/2021,Approved,,
PRMZ001295,RAINES MOBILE HOME PARK,Hillsborough,"5123 E BROADWAY AVE, TAMPA, FL 33619",0,04/19/2016,Approved,,
PRMY003122,PINEWOOD MOBILE PARK,Polk,"192 PINEWOOD LN, LAKE ALFRED, FL 33881",17,04/13/2016,Approved,,
PRMZ001059,GROVE MOBILE HOME PARK,Hillsborough,"1518 CLEMENT RD, LUTZ, FL 33549",34,06/03/2026,Approved,,
PRMZ001524,RIVER HAVEN MOBILE HOME PARK,Hillsborough,"156 19TH ST NW, RUSKIN, FL 33570",63,05/11/2026,Approved,,
PRMZ000164,SUNSET SHORES CO-OP INC,Polk,"1000 S CLINCH LAKE BLVD, FROSTPROOF, FL 33843",24,07/19/2016,Approved,,
PRMZ000415,GEORGETOWNE MOBILE MANOR,Polk,"1501 W ARIANA ST, LAKELAND, FL 33803",188,02/29/2024,Approved,,
PRMY002186,FRIENDLY OURS MOBILE HOME PARK,Pasco,"37936 12TH AVE, ZEPHYRHILLS, FL 33542",20,10/26/2021,Approved,,
PRMZ000619,LEISURE HOMES MP,Polk,"1675 LYNCHBURG RD, LAKE ALFRED, FL 33850-2651",54,10/28/2016,Approved,,
PRMZ003246,HAMPTONS,Polk,"1094 HWY 92 W, AUBURNDALE, FL 33823",829,06/30/2025,Approved,,
PRMZ000374,GROVE SHORES MOBILE COLONY,Polk,"5201 STRUTHERS RD, WINTER HAVEN, FL 33884",60,07/05/2022,Approved,,
PRMZ000379,GULF BREEZE MOBILE HOME PARK,Pasco,"7530 MARYLAND AVE, HUDSON, FL 34667",39,02/20/2026,Approved,,
PRMY002608,SOMERSET ACRES MOBILE HOME PARK,Pasco,"20344 OLD SOMERSET ACRES LN, SPRING HILL, FL 34610",13,12/03/2024,Approved,,
PRMZ000944,RAINBOW ROCK MHP,Hillsborough,"1150 FLETCHER LN, PLANT CITY, FL 33566",45,07/20/2016,Approved,,Y
PRMZ001720,RIVERLAWN MANUFACTURED HOME COMMUNITY,Hillsborough,"8215 STONER RD, RIVERVIEW, FL 33569",131,06/23/2021,Approved,,
PRMY002064,MCKENZIE MHP,Polk,"2011 N LK REEDY BLVD, FROSTPROOF, FL 33843",15,10/12/2016,Approved,,
PRMZ000882,IMPERIAL OAKS ESTATES MOBILE HOME PARK,Pasco,"11440 CAUSEWAY BLVD, NEW PORT RICHEY, FL 34654",89,01/31/2023,Approved,,
PRMZ001740,SPRING HILL MOBILE HOME PARK,Polk,"7400 S COUNTY LINE RD, MULBERRY, FL 33860",255,12/07/2023,Approved,,
PRMZ001253,ZACK'S OAKSIDE MHP INC,Pasco,"38539 CRESCENT AVE, ZEPHYRHILLS, FL 33540",238,09/08/2011,Approved,,
PRMZ001775,SUNSHINE LAKE ESTATES,Pasco,"6530 ACCENT LANE, NEW PORT RICHEY, FL 34653",248,11/18/2021,Approved,,
PRMZ001247,SELPH'S MH VILLAGE,Polk,"301 SOUTH LAKE REEDY BLVD, FROSTPROOF, FL 33843",35,08/22/2017,Approved,,
PRMY003081,GARDEN GATE MOBILE HOME PARK,Polk,"801 HWY 27 S., DUNDEE, FL 33838",8,02/28/2018,Approved,,
PRMZ001176,FOREST LAKE ESTATES,Pasco,"6429 FOREST LAKE DR, ZEPHYRHILLS, FL 33540",1068,07/15/2026,Approved,,
PRMZ000240,COUNTRY AIRE MOBILE HOME PARK,Hillsborough,"10940 CLAY PIT RD, TAMPA, FL 33610",61,08/03/2017,Approved,,
PRMZ001561,RIVERSIDE CLUB,Hillsborough,"2550 PIER DR, RUSKIN, FL 33570",729,03/24/2025,Approved,,
PRMZ000890,HUDSON SPRINGS MOBILE HOME PARK,Pasco,"14235 PINE ST, HUDSON, FL 34667",18,09/29/2021,Approved,,
PRMZ000108,COLLEGE PARK MOBILE HOME PARK,Polk,"4639 HWY 27 S, LAKE WALES, FL 33853",99,02/01/2023,Approved,,
PRMZ000157,CYPRESS GARDENS FAMILY CAMPGRND & MH EST,Polk,"1951 LAKE DAISY RD, WINTER HAVEN, FL 33884",143,11/08/2022,Approved,,
PRMZ000940,RALSTON BEACH TRAILER CT,Hillsborough,"6817 N HABANA AVE, TAMPA, FL 33614",45,11/08/2017,Approved,,
PRMZ000300,BUCCANEER BAY MOBILE HOME COMMUNITY,Polk,"643 MATHEW RD, LAKELAND, FL 33815",54,02/07/2022,Approved,,
PR7602,STRAWBERRY PATCH MOBILE HOME PARK,Hillsborough,"546 STRAWBERRY PATCH CIR, PLANT CITY, FL 33563",32,09/18/2018,Approved,,Y
